Date,Close,Volume
26/08/2016,125.0,17504800
29/08/2016,126.5,15925900
30/08/2016,125.8,17804300
31/08/2016,126.1,14200600
01/09/2016,126.2,13536100
02/09/2016,126.5,12118800
06/09/2016,129.7,26278400
07/09/2016,131.1,27990800
08/09/2016,130.3,15676600
09/09/2016,127.1,27100700
12/09/2016,128.7,21252800
13/09/2016,127.2,18016200
14/09/2016,127.8,15691100
15/09/2016,128.4,15077200
16/09/2016,129.1,24119200
19/09/2016,128.6,14958800
20/09/2016,128.6,11083800
21/09/2016,129.9,14068300
22/09/2016,130.1,15538300
23/09/2016,128.0,28326300
26/09/2016,127.3,15064900
27/09/2016,128.7,15637100
28/09/2016,129.2,12047600
29/09/2016,128.1,14532200
30/09/2016,128.3,18402900
03/10/2016,128.8,13156900
04/10/2016,128.2,14307500
05/10/2016,128.5,12386800
06/10/2016,128.7,11682700
07/10/2016,129.0,12804400
10/10/2016,130.2,15138700
11/10/2016,128.9,17537900
12/10/2016,129.1,11073000
13/10/2016,127.8,17139300
14/10/2016,127.9,13345300
17/10/2016,127.5,11351700
18/10/2016,128.6,13504000
19/10/2016,130.1,16752300
20/10/2016,130.0,13167500
21/10/2016,132.1,19088800
24/10/2016,133.3,17470200
25/10/2016,132.3,13336800
26/10/2016,131.0,13084700
27/10/2016,129.7,16741400
28/10/2016,131.3,24545500
31/10/2016,131.0,15669000
01/11/2016,129.5,22077800
02/11/2016,127.2,39640900
03/11/2016,120.0,63766300
04/11/2016,120.8,30545500
07/11/2016,122.2,23008900
08/11/2016,124.2,19460800
09/11/2016,123.2,31916000
10/11/2016,120.8,67846700
11/11/2016,119.0,32840100
14/11/2016,115.1,51377000
15/11/2016,117.2,34681400
16/11/2016,116.3,32397900
17/11/2016,117.8,18597800
18/11/2016,117.0,22879300
21/11/2016,121.8,35415400
22/11/2016,121.5,26089200
23/11/2016,120.8,15672100
25/11/2016,120.4,8658600
28/11/2016,120.4,18101300
29/11/2016,120.9,18891000
30/11/2016,118.4,30188900
01/12/2016,115.1,43277000
02/12/2016,115.4,25070400
05/12/2016,117.4,20201500
06/12/2016,117.3,19131200
07/12/2016,117.9,21913700
08/12/2016,118.9,22442800
09/12/2016,119.7,17464700
12/12/2016,117.8,17805500
13/12/2016,120.3,29768000
14/12/2016,120.2,25913100
15/12/2016,120.6,20139600
16/12/2016,119.9,25324300
19/12/2016,119.2,15918100
20/12/2016,119.1,13684400
21/12/2016,119.0,10767600
22/12/2016,117.4,16258600
23/12/2016,117.3,10890000
27/12/2016,118.0,12051500
28/12/2016,116.9,12087400
29/12/2016,116.3,9934900
30/12/2016,115.1,18684100
03/01/2017,116.9,20663900
04/01/2017,118.7,19630900
05/01/2017,120.7,19492200
06/01/2017,123.4,28545300
09/01/2017,124.9,22880400
10/01/2017,124.3,17324600
11/01/2017,126.1,18356500
12/01/2017,126.6,18653900
13/01/2017,128.3,24884300
17/01/2017,127.9,15294500
18/01/2017,127.9,13145900
19/01/2017,127.6,12195500
20/01/2017,127.0,19097200
23/01/2017,128.9,16593600
24/01/2017,129.4,15162700
25/01/2017,131.5,18731300
26/01/2017,132.8,20020100
27/01/2017,132.2,19539500
30/01/2017,131.0,18956100
31/01/2017,130.3,19790500
01/02/2017,133.2,50139800
02/02/2017,130.8,54366400
03/02/2017,131.0,24804900
06/02/2017,132.1,17058500
07/02/2017,131.8,14596400
08/02/2017,134.2,22390600
09/02/2017,134.1,16470600
10/02/2017,134.2,15061900
13/02/2017,134.1,13526200
14/02/2017,133.9,14364900
15/02/2017,133.4,13226500
16/02/2017,133.8,12831100
17/02/2017,133.5,12276500
21/02/2017,133.7,14759100
22/02/2017,136.1,27360100
23/02/2017,135.4,18422500
24/02/2017,135.4,12625700
27/02/2017,136.4,14306700
28/02/2017,135.5,16112100
01/03/2017,137.4,16257000
02/03/2017,136.8,12294800
03/03/2017,137.2,11160600
06/03/2017,137.4,12748200
07/03/2017,137.3,13527100
08/03/2017,137.7,10184500
09/03/2017,138.2,15535300
10/03/2017,138.8,16314100
13/03/2017,139.6,10955500
14/03/2017,139.3,12944000
15/03/2017,139.7,19344800
16/03/2017,140.0,13612900
17/03/2017,139.8,20592800
20/03/2017,139.9,12099500
21/03/2017,138.5,29894800
22/03/2017,139.6,17055400
23/03/2017,139.5,13022800
24/03/2017,140.3,16664700
27/03/2017,140.3,12800500
28/03/2017,141.8,14679400
29/03/2017,142.6,16527600
30/03/2017,142.4,12404000
31/03/2017,142.1,11478300
03/04/2017,142.3,13564000
04/04/2017,141.7,12948600
05/04/2017,141.9,17158100
06/04/2017,141.2,15103400
07/04/2017,140.8,11818300
10/04/2017,141.0,9039400
11/04/2017,139.9,16638100
12/04/2017,139.6,11612500
13/04/2017,139.4,10965600
17/04/2017,141.4,11519700
18/04/2017,141.0,14807500
19/04/2017,142.3,15563900
20/04/2017,143.8,15968200
21/04/2017,143.7,12382000
24/04/2017,145.5,14407200
25/04/2017,146.5,17767500
26/04/2017,146.6,12395000
27/04/2017,147.7,11275100
28/04/2017,150.3,30652200
01/05/2017,152.5,25218300
02/05/2017,152.8,21870400
03/05/2017,151.8,29782500
04/05/2017,150.9,36225500
05/05/2017,150.2,17148500
08/05/2017,151.1,15827500
09/05/2017,150.5,17453900
10/05/2017,150.3,12080700
11/05/2017,150.0,11841900
12/05/2017,150.3,9598200
15/05/2017,150.2,15064700
16/05/2017,149.8,14550800
17/05/2017,144.9,28300100
18/05/2017,147.7,23031600
19/05/2017,148.1,16187900
22/05/2017,148.2,12586700
23/05/2017,148.1,12817800
24/05/2017,150.0,17862400
25/05/2017,152.0,19891400
26/05/2017,152.1,14996200
30/05/2017,152.4,13226000
31/05/2017,151.5,18023900
01/06/2017,151.5,14530600
02/06/2017,153.6,16854400
05/06/2017,153.6,12520400
06/06/2017,152.8,13457100
07/06/2017,153.1,12066700
08/06/2017,154.7,17799400
09/06/2017,149.6,35577700
12/06/2017,148.4,33170200
13/06/2017,150.7,20483400
14/06/2017,150.3,20808800
15/06/2017,149.8,18994200
16/06/2017,150.6,22882400
19/06/2017,152.9,19026500
20/06/2017,152.3,14743900
21/06/2017,153.9,15039800
22/06/2017,153.4,13005500
23/06/2017,155.1,18027000
26/06/2017,153.6,18049700
27/06/2017,150.6,19360800
28/06/2017,153.2,16719100
29/06/2017,151.0,23973500
30/06/2017,151.0,17666000
03/07/2017,148.4,13862700
05/07/2017,150.3,14334300
06/07/2017,148.8,14951800
07/07/2017,151.4,13615900
10/07/2017,153.5,13378700
11/07/2017,155.3,13667700
12/07/2017,158.9,22739400
13/07/2017,159.3,13929200
14/07/2017,160.0,16371200
17/07/2017,159.7,12858800
18/07/2017,162.9,23722900
19/07/2017,164.1,26273600
20/07/2017,164.5,18523100
21/07/2017,164.4,14744000
24/07/2017,166.0,17367000
25/07/2017,165.3,15383200
26/07/2017,165.6,35236900
27/07/2017,170.4,68910700
28/07/2017,172.4,24557600
31/07/2017,169.3,25478900
01/08/2017,169.9,14385000
02/08/2017,169.3,17433800
03/08/2017,168.6,10793800
04/08/2017,169.6,10777700
07/08/2017,172.0,12787800
08/08/2017,171.2,14393500
09/08/2017,171.2,10815000
10/08/2017,167.4,20832700
11/08/2017,168.1,13791200
14/08/2017,170.8,12954200
15/08/2017,171.0,8729200
16/08/2017,170.0,15779900
17/08/2017,166.9,17216000
18/08/2017,167.4,15093600
21/08/2017,167.8,11907500
22/08/2017,169.6,11391000
23/08/2017,168.7,9856500
24/08/2017,167.7,14030400
25/08/2017,166.3,12614500
28/08/2017,167.2,8553700
29/08/2017,168.1,11121000
30/08/2017,169.9,11138300
31/08/2017,172.0,17226500
01/09/2017,172.0,11677600
05/09/2017,170.7,13210900
06/09/2017,172.1,13906300
07/09/2017,173.2,18049500
08/09/2017,170.9,10998500
11/09/2017,173.5,12372000
12/09/2017,173.0,11186300
13/09/2017,173.1,9119300
14/09/2017,171.0,15615700
15/09/2017,171.6,15660500
18/09/2017,170.0,12954000
19/09/2017,172.5,13168600
20/09/2017,172.2,12264100
21/09/2017,171.1,11161400
22/09/2017,170.5,12097100
25/09/2017,162.9,41251600
26/09/2017,164.2,23363300
27/09/2017,167.7,19242500
28/09/2017,168.7,12178700
29/09/2017,170.9,15340400
02/10/2017,169.5,13392300
03/10/2017,170.0,8190300
04/10/2017,168.4,12127900
05/10/2017,171.2,14580600
06/10/2017,172.2,13124500
09/10/2017,172.5,14570400
10/10/2017,171.6,11341100
11/10/2017,172.7,11283700
12/10/2017,172.6,10351000
13/10/2017,173.7,13658300
16/10/2017,174.5,11498800
17/10/2017,176.1,15990100
18/10/2017,176.0,12752400
19/10/2017,174.6,14048400
20/10/2017,175.0,12602200
23/10/2017,171.3,13852700
24/10/2017,171.8,12267900
25/10/2017,170.6,15868200
26/10/2017,170.6,11833100
27/10/2017,177.9,30285300
30/10/2017,179.9,24353200
31/10/2017,180.1,20174200
01/11/2017,182.7,40918300
02/11/2017,178.9,35529900
03/11/2017,178.9,17822100
06/11/2017,180.2,13312700
07/11/2017,180.3,12928200
08/11/2017,179.6,10494100
09/11/2017,179.3,12610300
10/11/2017,178.5,11070200
13/11/2017,178.8,9523400
14/11/2017,178.1,9585900
15/11/2017,177.9,10253700
16/11/2017,179.6,15607600
17/11/2017,179.0,13018000
20/11/2017,178.7,10052400
21/11/2017,181.9,14504000
22/11/2017,180.9,10376300
24/11/2017,182.8,9426300
27/11/2017,183.0,12344500
28/11/2017,182.4,14379700
29/11/2017,175.1,41933500
30/11/2017,177.2,25307600
01/12/2017,175.1,20182500
04/12/2017,171.5,24459400
05/12/2017,172.8,20184900
06/12/2017,176.1,20255800
07/12/2017,180.1,20404500
08/12/2017,179.0,19883800
11/12/2017,179.0,13168600
12/12/2017,177.0,16854100
13/12/2017,178.3,14615700
14/12/2017,178.4,13591000
15/12/2017,180.2,28463100
18/12/2017,180.8,17265400
19/12/2017,179.5,14920600
20/12/2017,177.9,11860500
21/12/2017,177.4,11600700
22/12/2017,177.2,8509500
26/12/2017,176.0,8897300
27/12/2017,177.6,9496100
28/12/2017,177.9,12220800
29/12/2017,176.5,10261500
02/01/2018,181.4,18151900
03/01/2018,184.7,16886600
04/01/2018,184.3,13880900
05/01/2018,186.9,13574500
08/01/2018,188.3,17994700
09/01/2018,187.9,12393100
10/01/2018,187.8,10529900
11/01/2018,187.8,9588600
12/01/2018,179.4,77551300
16/01/2018,178.4,36183800
17/01/2018,177.6,27992400
18/01/2018,179.8,23304900
19/01/2018,181.3,26826500
22/01/2018,185.4,21059500
23/01/2018,189.4,25678800
24/01/2018,186.6,24334500
25/01/2018,187.5,17377700
26/01/2018,190.0,17759200
29/01/2018,186.0,20453200
30/01/2018,187.1,20858600
31/01/2018,186.9,43275100
01/02/2018,193.1,54211300
02/02/2018,190.3,26677500
05/02/2018,181.3,33128200
06/02/2018,185.3,37758500
07/02/2018,180.2,27601900
08/02/2018,171.6,38478300
09/02/2018,176.1,39887600
12/02/2018,176.4,32092100
13/02/2018,173.1,21809400
14/02/2018,179.5,28929700
15/02/2018,180.0,20922100
16/02/2018,177.4,20645300
20/02/2018,176.0,21204900
21/02/2018,177.9,23200800
22/02/2018,179.0,18464200
23/02/2018,183.3,19007300
26/02/2018,184.9,17599700
27/02/2018,181.5,15849800
28/02/2018,178.3,18783000
01/03/2018,175.9,23201600
02/03/2018,176.6,20025900
05/03/2018,180.4,16189300
06/03/2018,179.8,15086800
07/03/2018,183.7,19097300
08/03/2018,182.3,17225900
09/03/2018,185.2,18526300
12/03/2018,184.8,15301200
13/03/2018,181.9,18067500
14/03/2018,184.2,16821700
15/03/2018,183.9,15614300
16/03/2018,185.1,24403400
19/03/2018,172.6,88140100
20/03/2018,168.1,129851800
21/03/2018,169.4,106598800
22/03/2018,164.9,73743000
23/03/2018,159.4,53609700
26/03/2018,160.1,126116600
27/03/2018,152.2,79117000
28/03/2018,153.0,60029200
29/03/2018,159.8,59434300
02/04/2018,155.4,36796000
03/04/2018,156.1,42543900
04/04/2018,155.1,49885600
05/04/2018,159.3,41449600
06/04/2018,157.2,41644800
09/04/2018,157.9,34915200
10/04/2018,165.0,57889300
11/04/2018,166.3,56144600
12/04/2018,163.9,38263000
13/04/2018,164.5,19990600
16/04/2018,164.8,18119400
17/04/2018,168.7,22743000
18/04/2018,166.4,20969600
19/04/2018,168.1,22235000
20/04/2018,166.3,19119400
23/04/2018,165.8,23088100
24/04/2018,159.7,35079900
25/04/2018,159.7,41083600
26/04/2018,174.2,77556900
27/04/2018,173.6,29804700
30/04/2018,172.0,20750500
01/05/2018,173.9,26025900
02/05/2018,176.1,30424500
03/05/2018,174.0,24026100
04/05/2018,176.6,17677800
07/05/2018,178.0,18697200
08/05/2018,178.9,15577200
09/05/2018,182.7,23282800
10/05/2018,185.5,21071400
11/05/2018,187.0,21207800
14/05/2018,186.6,15646700
15/05/2018,184.3,15429400
16/05/2018,183.2,16975500
17/05/2018,183.8,14840700
18/05/2018,182.7,13130500
21/05/2018,184.5,13532900
22/05/2018,183.8,12731400
23/05/2018,186.9,16628100
24/05/2018,185.9,12354700
25/05/2018,184.9,10965100
29/05/2018,185.7,16398900
30/05/2018,187.7,13736900
31/05/2018,191.8,30782600
01/06/2018,194.0,17307200
04/06/2018,193.3,18939800
05/06/2018,192.9,15544300
06/06/2018,191.3,22558900
07/06/2018,188.2,21503200
08/06/2018,189.1,12677100
11/06/2018,191.5,12928900
12/06/2018,192.4,11562700
13/06/2018,192.4,15853800
14/06/2018,196.8,19120900
15/06/2018,195.9,21860900
18/06/2018,198.3,16826000
19/06/2018,197.5,19994000
20/06/2018,202.0,28230900
21/06/2018,201.5,19045700
22/06/2018,201.7,17420200
25/06/2018,196.4,25275100
26/06/2018,199.0,17897600
27/06/2018,195.8,18734400
28/06/2018,196.2,18172400
29/06/2018,194.3,15811600
02/07/2018,197.4,13961600
03/07/2018,192.7,13489500
05/07/2018,198.4,19684200
06/07/2018,203.2,19740100
09/07/2018,204.7,18149400
10/07/2018,203.5,13190100
11/07/2018,202.5,12927400
12/07/2018,206.9,15454700
13/07/2018,207.3,11486800
16/07/2018,207.2,11078200
17/07/2018,210.0,15349900
18/07/2018,209.4,15334900
19/07/2018,208.1,11350400
20/07/2018,209.9,16163900
23/07/2018,210.9,16732000
24/07/2018,214.7,28468700
25/07/2018,217.5,58954200
26/07/2018,176.3,169803700
27/07/2018,174.9,60073700
30/07/2018,171.1,65280800
31/07/2018,172.6,40356500
01/08/2018,171.6,34042100
02/08/2018,176.4,32400000
03/08/2018,177.8,24763400
06/08/2018,185.7,49716200
07/08/2018,183.8,33398600
08/08/2018,185.2,22205200
09/08/2018,183.1,19732100
10/08/2018,180.3,21500400
13/08/2018,180.1,17423300
14/08/2018,181.1,19102000
